Serie,Modelo,Local,
PE03SMAB,MINI COMPUTADOR LENOVO I5 8GB 240SSD,ARQUIVO,
CN0668VC7426166G3E2B,"MONITOR DELL 21,5 POLEGADAS",ARQUIVO,
2440491010505,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,AUD,
7LVNZX1,COMPUTADOR DELL OPTIPLEX,AUD,
CN07CT167426138Q0VYL,"MONITOR DELL 18,5 POLEGADAS",AUD,
7KP70Y1,COMPUTADOR DELL I5 8GB 240SSD,CACS FUNDEB,
PE02267Z,COMPUTADOR LENOVO I3 8GB 240SSD,CACS FUNDEB,
PELW001,COMPUTADOR LENOVO I3 8GB 240SSD,CACS FUNDEB,
201272250,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CACS FUNDEB,
201272251,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CACS FUNDEB,
210160117,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CACS FUNDEB,
9TX217425,IMPRESSORA XEROX C7020,CACS FUNDEB,
010SPZK16877,"MONITOR AOC LED 18,5",CACS FUNDEB,
BR0K321F075919AM0YQH,"MONITOR DELL 18,5 POLEGADAS",CACS FUNDEB,
VA322446,"MONITOR LENOVO 19,5 POLEGADAS",CACS FUNDEB,
4A890LC0P,COMPUTADOR CORE I3 7100 HD 500 4GB,CAE,
4A890MH2L,COMPUTADOR CORE I3 7100 HD 500 4GB,CAE,
PE88495,COMPUTADOR LENOVO I3 8GB 240SSD,CAE,
5A257VZ1Q,COMPUTADOR POSITIVO I3 8GB 240SSD,CAE,
201272274,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAE,
201272275,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAE,
201272276,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAE,
3TX396057,IMPRESSORA XEROX C8035,CAE,
CGU34IA021073,"MONITOR AOC 18,5 POLEGADAS",CAE,
CN03GTCV7287239PCT7L,"MONITOR DELL 18,5 POLEGADAS",CAE,
CN07CT167426139P475U,"MONITOR DELL 18,5 POLEGADAS",CAE,
16RY9X1,COMPUTADOR DELL I5 8GB 240SSD,CAED,
53BB951,COMPUTADOR DELL I5 8GB 240SSD,CAED,
5FZY0Y1,COMPUTADOR DELL I5 8GB 240SSD,CAED,
8GVV9X1,COMPUTADOR DELL I5 8GB 240SSD,CAED,
C5FV8S1,COMPUTADOR DELL I5 8GB 240SSD,CAED,
FFZY0Y1,COMPUTADOR DELL I5 8GB 240SSD,CAED,
BRG248FS6Q,COMPUTADOR HP I5 8GB 240SSD,CAED,
2432391010470,ESTABILIZADOR POWEREST TS SHARA ,CAED,
201272353,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CAED,
MMLY6AA0169080524085A9,"MONITOR ACER 19,5"" LED VGA VESA",CAED,
009SPKN04661,"MONITOR AOC LED 18,5",CAED,
009SPPB09976,"MONITOR AOC LED 18,5",CAED,
010SPKN16861,"MONITOR AOC LED 18,5",CAED,
CN07CT167426139P1Y2U,MONITOR DELL MODELO P1913SB,CAED,
215HQLED160010221670,"MONITOR HQ 21,5 POLEGADAS",CAED,
VA322447,"MONITOR LENOVO 19,5 POLEGADAS",CAED,
SVA172045,MONITOR LENOVO THINKVISION S22E19,CAED,
4A890LJ3P,COMPUTADOR CORE I3 7100 HD 500 4GB,CIE,
4A890M78L,COMPUTADOR CORE I3 7100 HD 500 4GB,CIE,
HMM2642,COMPUTADOR DELL I5 8GB 240SSD,CIE,
2419391010371,ESTABILIZADOR POWEREST 300VA BIVOLT 4T PRETO,CIE,
9TX216149,IMPRESSORA XEROX C7020,CIE,
PE03SMUK,MINI COMPUTADOR LENOVO I5 8GB 240SSD,CIE,
009SPED04780,"MONITOR AOC LED 18,5",CIE,
009SPLC05232,"MONITOR AOC LED 18,5",CIE,
BR0K321F0759199I0CJH,"MONITOR DELL 18,5 POLEGADAS",CIE,
P0418003625,COMPUTADOR I3 8GB 240SSD,CME,
P0818003990,COMPUTADOR I3 8GB 240SSD,CME,
PE01RL0S,COMPUTADOR LENOVO I3 8GB 240SSD,CME,
210160116,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CME,
210160123,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CME,
3TX388782,IMPRESSORA XEROX C8035,CME,
BR0K321F075919AM05PH,"MONITOR DELL 18,5 POLEGADAS",CME,
CN03GTCV728723B6ARJL,"MONITOR DELL 18,5 POLEGADAS",CME,
CN07CT167426139P10MU,"MONITOR DELL 18,5 POLEGADAS",CME,
VF76086,"MONITOR LENOVO 19,5 POLEGADAS",CME,
4A890L62H,COMPUTADOR CORE I3 7100 HD 500 4GB,CPFPF,
4A890M57A,COMPUTADOR CORE I3 7100 HD 500 4GB,CPFPF,
4A890M81P,COMPUTADOR CORE I3 7100 HD 500 4GB,CPFPF,
4A890M90N,COMPUTADOR CORE I3 7100 HD 500 4GB,CPFPF,
4A890MP0Z,COMPUTADOR CORE I3 7100 HD 500 4GB,CPFPF,
4A890MS8C,COMPUTADOR CORE I3 7100 HD 500 4GB,CPFPF,
4A892K45P,COMPUTADOR CORE I3 7100 HD 500 4GB,CPFPF,
CTLMJ82,COMPUTADOR DELL I5 8GB 240SSD,CPFPF,
201272277,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CPFPF,
201272279,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CPFPF,
201272280,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CPFPF,
201272281,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CPFPF,
201272283,ESTABILIZADOR TSSHARA POWEREST 300 MONO115 4T PRETO,CPFPF,
